# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 14, mean observations per image: 557.643
14 0.554619 0.524856 -0.452905 0.460219 -0.173888 0.236895 1.27596 0 dslr_images_undistorted/DSC_0647.JPG
13 -0.426679 -0.398794 0.566735 -0.581137 0.115533 0.231671 1.22894 0 dslr_images_undistorted/DSC_0646.JPG
12 0.797551 0.594503 0.0578154 -0.0844721 -0.685431 0.243451 0.136244 0 dslr_images_undistorted/DSC_0645.JPG
11 0.798914 0.59292 0.0590239 -0.0818394 0.0192445 0.187231 -0.0333083 0 dslr_images_undistorted/DSC_0644.JPG
10 0.783956 0.581867 -0.132813 0.170892 0.966163 0.278155 0.295133 0 dslr_images_undistorted/DSC_0643.JPG
9 0.646285 0.629869 0.298125 -0.31097 -1.07555 0.210537 0.717459 0 dslr_images_undistorted/DSC_0642.JPG
8 0.453863 0.446303 0.53991 -0.550744 -1.05616 0.201038 0.718656 0 dslr_images_undistorted/DSC_0641.JPG
7 0.465056 0.456064 0.529655 -0.543319 -0.218832 0.199492 0.619441 0 dslr_images_undistorted/DSC_0640.JPG
6 0.510049 0.503248 0.487789 -0.498652 0.717662 0.190731 0.593119 0 dslr_images_undistorted/DSC_0639.JPG
5 0.694986 0.679759 -0.166615 0.164806 -1.14131 0.188482 -0.106668 0 dslr_images_undistorted/DSC_0638.JPG
4 0.671799 0.653057 -0.245753 0.248613 -0.322202 0.172267 -0.555172 0 dslr_images_undistorted/DSC_0637.JPG
3 0.707226 0.691205 0.102815 -0.107226 -0.456291 0.187703 0.160552 0 dslr_images_undistorted/DSC_0636.JPG
2 0.715931 0.697633 0.0176306 -0.0209686 0.291006 0.181953 0.0599135 0 dslr_images_undistorted/DSC_0635.JPG
1 0.714118 0.695542 -0.0574465 0.0543732 0.841517 0.181774 0.202188 0 dslr_images_undistorted/DSC_0634.JPG
